title,link
【#90后小伙暴雨中15秒救起触电司机#】#被救触电司机醒后给8岁儿子留遗言#8月22日，驻马店泌阳县。暴雨中一辆车被电线挡住去路，司机下车查看时不小心触电倒地。驾车路过的90后小伙程军伟刚好看到，立刻冒雨飞奔到触电司机身旁，将脱下来的上衣拧成一根“绳”套在触电司机头部，将其拉离了电线位置，整个过程仅用了15秒。据了解，1993年出生的程军伟毕业于弹药工程与爆炸技术专业，现在是泌阳县人民检察院第四检察部的一名书记员。今天上午，都市记者联系到了被救的触电司机王振，他是驻马店泌阳县羊册镇上冯村委治安主任，当天送完村里独居老人到医院打疫苗后突发暴雨，因为担心家中两个年幼的孩子，他才冒雨回家，不想路上出了事儿，“触电那一刻，我觉得自己已经是个死人了”，说到这里，王振泪如雨下，他说恢复意识后甚至给8岁的儿子打电话留好了遗言，“我说爸爸（假如）今天晚上挺不过去死了，希望你照顾好你妹妹”。所幸王振挺了过来，目前他仍在医院接受治疗，“他（程军伟）给了第二次生命，等我好了，我去当面谢谢他”。 @都市报道 L都市报道的微博视频 收起d,https://weibo.com/6167691229/Kw0wEeBOc
#周口好网民##河南好网民# 【超级英雄！#河南民警勇救51人后被洪水冲走又自救#，并救出一起冲走的村民】近日，公安部举行的发布会上点名表扬了河南民警杨旭恒。他在今年的郑州“7·20”特大暴雨灾害中，勇救51人后，被洪水冲走，10小时后成功自救并救出一起冲走的63岁村民，被誉为“超级英雄”，仅仅在医院观察治疗了10天，他便又上了抗击疫情的战场。如今，在抗击洪水中受的伤基本痊愈，杨旭恒说，他还会在人民需要时挺身而出。#河南好网民##河南青年好网民# ￼小寒大吕的微博视频O网页链接 收起d,https://weibo.com/1742625811/Kw0uQe1KW
#河南新一轮降雨#【下班快回家！今晚焦作、安阳、三门峡等部分地区有大到暴雨】31日，据河南省气象局消息，28日08时到31日14时，河南淮河以北出现暴雨到大暴雨，并伴有短时强降水、短时大风等强对流天气。全省平均降水量85.4毫米，地市平均降水量最大在郑州，为136.0毫米。有1827个雨量站降水量超过50毫米，大于100毫米的有1112个，大于250毫米的有3个，最大降水西峡县秧地330.0毫米，最大小时雨强郸城城郊75.3毫米(29日21-22时)。31日08时-31日14时雨量：安阳、濮阳、鹤壁、焦作、济源、三门峡、新乡、信阳等地出现小雨，信阳固始局部出现大雨。最大降水量为固始县柳树店35.4毫米(31日13-14时)。未来两天天气预报今天下午，黄河以北和三门峡、洛阳两地区及南阳、郑州两地区西部阴天有阵雨、雷阵雨，局部中到大雨；其它地区多云间阴天，有分散性阵雨、雷阵雨。今天夜里，全省阴天，大部分地区有小到中阵雨、雷阵雨，其中焦作、济源、三门峡、洛阳四地市和安阳、新乡、郑州、平顶山、南阳五地区西部部分地区有大到暴雨。明天白天，淮河以北阴天，大部分地区有阵雨、雷阵雨，其中黄淮之间部分地区有中到大雨，局部暴雨；其它地区阴天间多云。明天夜里，东部、南部阴天，大部分地区有阵雨、雷阵雨，局部中雨；其它地区阴天到多云。（图： 2021年8月28日08时-31日14时河南省降水量实况）@河南气象 #气象专家分析郑州持续降雨原因# 详情点击：O网页链接 收起d,https://weibo.com/7308140398/Kw0uL9kTL
【超级英雄！#河南民警勇救51人后被洪水冲走又自救#，并救出一起冲走的村民】近日，公安部举行的发布会上点名表扬了河南民警杨旭恒。他在今年的郑州“7·20”特大暴雨灾害中，勇救51人后，被洪水冲走，10小时后成功自救并救出一起冲走的63岁村民，被誉为“超级英雄”，仅仅在医院观察治疗了10天，他便又上了抗击疫情的战场。如今，在抗击洪水中受的伤基本痊愈，杨旭恒说，他还会在人民需要时挺身而出。#河南好网民##河南青年好网民#O网页链接 收起d,https://weibo.com/7276179426/Kw0ut8WuS
#周口好网民##河南好网民# 【超级英雄！#河南民警勇救51人后被洪水冲走又自救#，并救出一起冲走的村民】近日，公安部举行的发布会上点名表扬了河南民警杨旭恒。他在今年的郑州“7·20”特大暴雨灾害中，勇救51人后，被洪水冲走，10小时后成功自救并救出一起冲走的63岁村民，被誉为“超级英雄”，仅仅在医院观察治疗了10天，他便又上了抗击疫情的战场。如今，在抗击洪水中受的伤基本痊愈，杨旭恒说，他还会在人民需要时挺身而出。O网页链接 收起d,https://weibo.com/5271695202/Kw0ufgHyM
【丹江口水库出现今年最大入库洪水】水利部30日通报，丹江口水库30日0时出现今年以来最大入库洪峰流量23400立方米每秒，汉江下游干流汉川江段超警。记者从水利部获悉，8月28日以来，汉江流域出现大到暴雨，面雨量45毫米，累积最大点雨量河南南阳南牛庄327毫米。受其影响，汉江上游任河、黄洋河、坝河发生超警洪水，其中坝河、任河上游发生超保洪水，任河重庆城口河段发生2005年有实测资料以来最大洪水。 收起d,https://weibo.com/2344017325/Kw0tPzcZT
【河堤被冲垮20米长“口子” #消防员用身体筑成人墙封堵决口#】由于强降雨影响，8月30日上午，在郑州市中牟县和开封市尉氏县交界处的丈八沟被洪水冲垮，急流洪浪迅速向下游奔涌而去，尉氏县庄头镇高庙北堤被洪水冲开20米长的“大口子”，水漫过了道路，直接威胁到下游村庄安全。紧急关头，尉氏县消防救援大队50名指战员穿着防汛救生衣、带着手套、拿着铁锹，冒着暴雨逆行而上，在又冷、又累、又饿的环境下，跳入近两米深的洪水中，用身体筑“人墙”，搬运沙袋、铺设无纺布、封堵决口。当日下午6时许，经过近10个小时的连续奋战，成功将决口堵住。@河南消防 L河南消防的微博视频 收起d,https://weibo.com/1663884750/Kw0speeN0
【河堤被冲垮20米长“口子” #消防员用身体筑成人墙封堵决口#】由于强降雨影响，8月30日上午，在郑州市中牟县和开封市尉氏县交界处的丈八沟被洪水冲垮，急流洪浪迅速向下游奔涌而去，尉氏县庄头镇高庙北堤被洪水冲开20米长的“大口子”，水漫过了道路，直接威胁到下游村庄安全。紧急关头，尉氏县消防救援大队50名指战员穿着防汛救生衣、带着手套、拿着铁锹，冒着暴雨逆行而上，在又冷、又累、又饿的环境下，跳入近两米深的洪水中，用身体筑“人墙”，搬运沙袋、铺设无纺布、封堵决口。当日下午6时许，经过近10个小时的连续奋战，成功将决口堵住。@河南消防 L河南消防的微博视频 收起d,https://weibo.com/2312075675/Kw0skseDr
#警界传奇杨旭恒今何在# 近日，公安部举行的发布会上点名表扬了河南民警杨旭恒。他在今年的郑州“7·20”特大暴雨灾害中，勇救51名群众，在救人途中被洪水冲走，10个多小时后自救归来，被誉为“超级英雄”，仅仅在医院观察治疗了10天，他便又上了抗击疫情的战场。如今，在抗击洪水中受的伤基本痊愈，杨旭恒说，他还会在人民需要时挺身而出。（王斌 周青莎） L河南日报的微博视频 O网页链接 收起d,https://weibo.com/3316714211/Kw0rK8LFo
【河堤被冲垮20米长“口子” #消防员用身体筑成人墙封堵决口#】由于强降雨影响，8月30日上午，在郑州市中牟县和开封市尉氏县交界处的丈八沟被洪水冲垮，急流洪浪迅速向下游奔涌而去，尉氏县庄头镇高庙北堤被洪水冲开20米长的“大口子”，水漫过了道路，直接威胁到下游村庄安全。紧急关头，尉氏县消防救援大队50名指战员穿着防汛救生衣、带着手套、拿着铁锹，冒着暴雨逆行而上，在又冷、又累、又饿的环境下，跳入近两米深的洪水中，用身体筑“人墙”，搬运沙袋、铺设无纺布、封堵决口。当日下午6时许，经过近10个小时的连续奋战，成功将决口堵住。@河南消防 L河南消防的微博视频 收起d,https://weibo.com/5271566475/Kw0r3zw8s
